street_address_and_name,zipcode,city,use_code,tax_assessment_year,tax_assessment_value,year_built,lot_size,finished_square_feet,bathrooms,bedrooms,zestimate_amount,region_name,region_type
1725 N Alexandria Ave APT 1,90027,Los Angeles,Apartment,NA,NA,NA,NA,775,1,1,NA,Los Feliz,neighborhood
1725 N Alexandria Ave APT 4,90027,Los Angeles,Apartment,NA,NA,NA,NA,800,1,1,NA,Los Feliz,neighborhood
1725 N Alexandria Ave APT 2,90027,Los Angeles,Apartment,NA,NA,NA,NA,800,1,1,NA,Los Feliz,neighborhood
1839 Burnell Dr,90065,Los Angeles,SingleFamily,2018,84500,NA,9370,NA,NA,0,NA,Mount Washington,neighborhood
1205 E M St,90744,WILMINGTON,Triplex,2018,172880,1924,4806,2748,4,7,638517,Wilmington,neighborhood
2661 Clyde Ave,90016,LOS ANGELES,SingleFamily,2018,264933,1931,4791,1174,1,3,714738,West Adams,neighborhood
4912 Arcola Ave,91601,NORTH HOLLYWOOD,SingleFamily,2018,74207,1940,6129,1402,2,2,863336,Toluca Lake,neighborhood
2832 Dunleer Pl,90064,LOS ANGELES,SingleFamily,2018,128595,1952,6618,1759,2,3,1643089,Cheviot Hills,neighborhood
7650 Faust Ave,91304,CANOGA PARK,SingleFamily,2018,577430,1965,7840,1639,3,4,657257,West Hills,neighborhood
15240 Septo St,91345,MISSION HILLS,SingleFamily,2018,89295,1957,6900,1562,2,3,576367,Mission Hills,neighborhood
6923 Burnet Ave,91405,VAN NUYS,SingleFamily,2018,424408,1951,6080,1781,2,3,621376,Van Nuys,neighborhood
2250 Las Colinas Ave,90041,LOS ANGELES,Apartment,2018,557820,1940,7930,3505,4,6,NA,Eagle Rock,neighborhood
7826 Atoll Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,376508,1964,9002,1986,2,3,659945,Sun Valley,neighborhood
10735 Ohio Ave,90024,Los Angeles,SingleFamily,NA,NA,1929,27878,2462,4,3,4071084,Westwood,neighborhood
5908 Radford Ave,91607,VALLEY VILLAGE,SingleFamily,2018,66526,1952,6446,1400,2,2,806440,North Hollywood,neighborhood
4760 Nob Hill Dr,90065,LOS ANGELES,SingleFamily,2018,310568,1992,5201,2750,3,3,1250771,Mount Washington,neighborhood
3906 Wilshire Blvd,90010,Los Angeles,SingleFamily,2018,6364774,1930,26407,16420,NA,0,NA,Mid City,neighborhood
18623 Kenya St,91326,PORTER RANCH,SingleFamily,2018,205452,1962,11308,2168,3,4,757984,Northridge,neighborhood
2278 W Adams Blvd APT 5,90018,Los Angeles,Apartment,NA,NA,NA,NA,850,1,2,NA,Jefferson Park,neighborhood
2663 San Marino St,90006,LOS ANGELES,SingleFamily,2018,350402,1909,6750,2310,1,4,1293287,MacArthur Park,neighborhood
19628 Parthenia St,91324,NORTHRIDGE,SingleFamily,2018,253932,1956,7532,1691,2,4,605709,Northridge,neighborhood
23020 Oxnard St,91367,WOODLAND HILLS,SingleFamily,2018,536215,1953,18312,3786,4,6,1509078,Woodland Hills,neighborhood
1449 Hepner Ave,90041,LOS ANGELES,Duplex,2018,396826,1948,6831,1608,2,4,942639,Eagle Rock,neighborhood
2222 Dorris Pl,90031,LOS ANGELES,Duplex,2018,606518,1923,5516,1134,2,4,776132,Elysian Valley,neighborhood
14718 Rex St,91342,SYLMAR,SingleFamily,2018,367343,1946,14295,1848,2,3,598190,Sylmar,neighborhood
22632 Cavalier St,91364,WOODLAND HILLS,SingleFamily,2018,134564,1966,11071,1816,2,3,817201,Woodland Hills,neighborhood
1545 N Benton Way,90026,LOS ANGELES,SingleFamily,2018,300778,1932,9161,1841,2,3,1354095,Silver Lake,neighborhood
7318 W 87th St,90045,LOS ANGELES,SingleFamily,2018,106388,1950,6766,1785,2,3,1266497,Playa Del Rey,neighborhood
2611 Dalton Ave,90018,LOS ANGELES,SingleFamily,2018,204192,1907,2980,1558,1,4,702379,Adams-Normandie,neighborhood
123 N Dillon St,90026,LOS ANGELES,SingleFamily,2018,450387,1912,6e3,2064,2,5,927724,Rampart Village,neighborhood
15755 Vose St,91406,VAN NUYS,SingleFamily,2018,450387,1948,11883,1992,2,3,689801,Lake Balboa,neighborhood
236 S Westgate Ave,90049,LOS ANGELES,SingleFamily,2018,723730,1967,8215,2022,3,2,2625540,Brentwood,neighborhood
10323 Lauriston Ave,90025,LOS ANGELES,SingleFamily,2018,98420,1937,4585,1196,1,2,1472473,Century City,neighborhood
3232 Lanfranco St,90063,LOS ANGELES,SingleFamily,2018,156453,1913,2849,939,1,2,419840,Boyle Heights,neighborhood
2813 Granville Ave,90064,LOS ANGELES,SingleFamily,2018,438131,NA,NA,1e3,1.5,2,1456429,Mar Vista,neighborhood
12349 Erwin St,91606,NORTH HOLLYWOOD,SingleFamily,2018,113291,1966,9124,1940,3,3,845928,Valley Glen,neighborhood
1440 W Sepulveda St,90732,SAN PEDRO,SingleFamily,2018,220683,1929,7004,1109,1,2,636079,San Pedro,neighborhood
15212 Lanark St,91402,PANORAMA CITY,SingleFamily,2018,220871,1948,5602,1611,2,3,563286,Panorama City,neighborhood
739 W 99th St,90044,LOS ANGELES,SingleFamily,2018,156752,1924,4959,864,1,1,379993,South Los Angeles,neighborhood
3320 Mandeville Canyon Rd,90049,LOS ANGELES,SingleFamily,2018,978212,1957,8378,2892,4.5,4,2598731,Brentwood,neighborhood
23107 Welby Way,91307,WEST HILLS,SingleFamily,2018,563518,1957,6904,1683,2,4,643761,West Hills,neighborhood
6656 Denny Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,593e3,1944,6446,1501,2,4,659395,North Hollywood,neighborhood
6656 Riverton Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,232154,1947,6256,1439,2,4,607568,North Hollywood,neighborhood
6656 Beck Ave,91606,NORTH HOLLYWOOD,MultiFamily2To4,2018,473943,1926,6534,1796,NA,0,673719,North Hollywood,neighborhood
6656 Lemp Ave,91606,NORTH HOLLYWOOD,MultiFamily2To4,2018,749010,1926,6749,4014,8,13,1237115,North Hollywood,neighborhood
6656 Camellia Ave,91606,NORTH HOLLYWOOD,Duplex,2018,243971,1940,6773,1313,2,3,634180,North Hollywood,neighborhood
6656 Lakeridge Rd,90068,LOS ANGELES,SingleFamily,2018,149495,1960,12419,2801,3,5,2216502,Hollywood Hills,neighborhood
6656 Lemp Ave APT 1,91606,N Hollywood,MultiFamily2To4,NA,NA,2010,NA,1200,2,4,637223,North Hollywood,neighborhood
6656 Lemp Ave APT 3,91606,N Hollywood,MultiFamily2To4,NA,NA,2010,NA,1100,2,3,594431,North Hollywood,neighborhood
6656 Lemp Ave APT 2,91606,N Hollywood,MultiFamily2To4,NA,NA,2010,NA,1100,2,3,594431,North Hollywood,neighborhood
6656 Ensign Ave,91606,NORTH HOLLYWOOD,SingleFamily,2018,581583,1944,7897,1852,2,3,678738,North Hollywood,neighborhood
12560 Bromont Ave,91340,SAN FERNANDO,SingleFamily,2018,132667,1947,6724,1266,1,3,502098,Sylmar,neighborhood
4126 Verdugo View Dr,90065,LOS ANGELES,SingleFamily,2018,346873,1946,6959,2130,3,4,1061928,Glassell Park,neighborhood
16949 Knollwood Dr,91344,GRANADA HILLS,SingleFamily,2018,202461,1976,18265,2486,3,3,874288,Granada Hills,neighborhood
5326 Don Pio Dr,91364,WOODLAND HILLS,SingleFamily,2018,161438,1952,6230,703,1,2,650579,Woodland Hills,neighborhood
11312 Dempsey Ave,91344,GRANADA HILLS,SingleFamily,2018,175610,1954,7130,1779,2,4,607746,Granada Hills,neighborhood
17436 Kingsbury St,91344,GRANADA HILLS,SingleFamily,2018,681821,1982,21344,1722,2,3,711722,Granada Hills,neighborhood
17436 Napa St,91325,Northridge,SingleFamily,NA,NA,1965,NA,2336,3,4,773305,Northridge,neighborhood
9502 Gerald Ave,91343,Northridge,SingleFamily,2018,231512,1956,8364,1344,2,3,576202,Northridge,neighborhood
1942 Coldwater Canyon Dr,90210,BEVERLY HILLS,SingleFamily,2018,700064,1956,15189,2750,3,2,3177079,Beverly Crest,neighborhood
1942 Coldwater Canyon Dr,90210,Beverly hills,SingleFamily,2018,5653,NA,2536,NA,NA,0,NA,Beverly Crest,neighborhood
1507 W 14th St,90015,San Pedro,SingleFamily,2018,340335,1926,3605,1036,1,2,677072,San Pedro,neighborhood
1817 Sichel St,90031,LOS ANGELES,SingleFamily,2018,365091,1890,9060,1452,1,3,681970,Lincoln Heights,neighborhood
16901 Nordhoff St,91343,Northridge,SingleFamily,2018,649276,1955,9147,1866,2.5,3,685313,Northridge,neighborhood
12212 Havelock Ave,90230,Los Angeles,SingleFamily,2018,68894,1953,4881,948,1,3,1050276,Del Rey,neighborhood
1579 W 183rd St,90248,GARDENA,SingleFamily,2018,485713,1963,5002,1380,2,4,614853,Harbor Gateway,neighborhood
819 E 80th St,90001,LOS ANGELES,Duplex,2018,375952,1957,5340,1500,2,3,461792,Southeast Los Angeles,neighborhood
13170 Mira Mar Dr,91342,SYLMAR,SingleFamily,2018,386313,2002,3589,1842,3,3,581278,Sylmar,neighborhood
834 1/4 N Alta Vista Blvd,90046,West Hollywood,Apartment,NA,NA,NA,NA,NA,1,1,NA,Mid City West,neighborhood
834 1/2 N Alta Vista Blvd,90046,West Hollywood,Apartment,NA,NA,NA,NA,NA,1,1,NA,Mid City West,neighborhood
16911 Strathern St,91406,VAN NUYS,SingleFamily,2018,343667,1952,7507,1556,2,2,610337,Lake Balboa,neighborhood
10248 Falun Dr,91352,SUN VALLEY,SingleFamily,2018,261102,1964,9440,1811,2,3,817578,Sun Valley,neighborhood
8343 Mammoth Ave,91402,PANORAMA CITY,SingleFamily,2018,323237,1949,5936,1716,2,4,563488,Panorama City,neighborhood
1515 W 183rd St,90248,GARDENA,SingleFamily,2018,330081,1963,6826,1704,2,4,689096,Harbor Gateway,neighborhood
1704 81st,90047,Los Angeles,SingleFamily,NA,NA,NA,NA,1809,4,4,638140,South Los Angeles,neighborhood
1704 W 59th St,90047,LOS ANGELES,Duplex,2018,388110,1930,3362,1231,2,3,430512,South Los Angeles,neighborhood
1704 Jefferson,90018,Los Angeles,VacantResidentialLand,NA,NA,NA,4730,NA,NA,NA,NA,South Los Angeles,neighborhood
1704 W 51st Pl,90062,LOS ANGELES,SingleFamily,2018,247584,1913,5460,1955,2,4,577248,South Los Angeles,neighborhood
1704 W 59th Pl,90047,LOS ANGELES,SingleFamily,2018,28596,1925,3362,720,1,3,387013,South Los Angeles,neighborhood
1704 W 60th Pl,90047,LOS ANGELES,Triplex,2018,228793,1926,5201,2365,3,6,636616,South Los Angeles,neighborhood
1704 W 52nd St,90062,LOS ANGELES,SingleFamily,2018,353740,1922,5227,1068,1,3,477013,South Los Angeles,neighborhood
1120 W 6th St APT 1704,90017,Los Angeles,Apartment,NA,NA,NA,NA,1070,2,2,NA,Westlake,neighborhood
335 N Alexandria Ave,90004,Los Angeles,Apartment,2018,1623024,1923,9268,5514,8,10,NA,Hollywood,neighborhood
6032 Ventura Canyon Ave,91401,VAN NUYS,SingleFamily,2018,246722,1948,7398,1266,1,3,701171,Valley Glen,neighborhood
17604 Lemay St,91406,VAN NUYS,SingleFamily,2018,74308,1950,6125,1300,2,4,613229,Lake Balboa,neighborhood
19016 Devonport Ln,91356,TARZANA,SingleFamily,2018,2469e3,2e3,116523,5501,8,6,2317853,Tarzana,neighborhood
22291 Acorn St,91311,CHATSWORTH,SingleFamily,2018,418842,1973,16491,1891,2,4,747203,Chatsworth,neighborhood
6344 Costello Ave,91401,VAN NUYS,SingleFamily,2018,228794,1944,8099,1417,2,4,700070,Valley Glen,neighborhood
7036 Keokuk Ave,91306,WINNETKA,SingleFamily,2018,548544,1953,7498,1820,3,4,611149,Winnetka,neighborhood
4755 Burnet Ave,91403,SHERMAN OAKS,SingleFamily,2018,1158169,1940,11901,2862,3.5,4,1424999,Sherman Oaks,neighborhood
918 W College St APT 501,90012,LOS ANGELES,Condominium,2018,132835,1988,34543,824,2,2,451695,Echo Park,neighborhood
7040 Colbath Ave,91405,VAN NUYS,SingleFamily,2018,625280,1953,8102,2107,3,4,708030,Van Nuys,neighborhood
7040 Calhoun Ave,91405,VAN NUYS,SingleFamily,2018,274661,1948,7154,1212,1,3,531996,Van Nuys,neighborhood
7040 Katherine Ave,91405,VAN NUYS,SingleFamily,2018,155974,1948,7155,924,1,2,489460,Van Nuys,neighborhood
7040 Tyrone Ave,91405,VAN NUYS,SingleFamily,2018,239317,1949,7181,918,1,2,489199,Van Nuys,neighborhood
22234 Horizon Pl,91311,CHATSWORTH,Condominium,2018,231529,1989,105507,1365,3,2,494931,Chatsworth,neighborhood
16631 Septo St,91343,NORTH HILLS,SingleFamily,2018,437335,1965,7702,1744,2,3,648019,North Hills,neighborhood
3724 Westside Ave,90018,LOS ANGELES,SingleFamily,2018,246308,1941,6136,1073,1,2,697813,Leimert Park,neighborhood
13033 Magnolia Blvd,91423,SHERMAN OAKS,SingleFamily,2018,816371,1983,5294,2700,3,4,1252307,Sherman Oaks,neighborhood
13033 Weddington St,91401,Sherman Oaks,SingleFamily,2018,239836,1954,6007,1656,2,2,1000022,Sherman Oaks,neighborhood
13033 Addison St,91423,SHERMAN OAKS,SingleFamily,2018,1330800,1991,13958,4438,4,4,2111531,Sherman Oaks,neighborhood
947 E 112th St,90059,LOS ANGELES,SingleFamily,2018,226295,1985,5662,1440,2,3,424292,Southeast Los Angeles,neighborhood
11747 Moorpark St,91604,STUDIO CITY,Quadruplex,2018,976386,1948,6006,3748,4,6,1805607,Studio City,neighborhood
251 W 42nd St,90037,LOS ANGELES,Duplex,2018,221902,1921,4840,1428,2,3,483242,Southeast Los Angeles,neighborhood
5625 Matilija Ave,91401,VAN NUYS,SingleFamily,2018,584415,1938,6750,1133,2,2,825266,Valley Glen,neighborhood
1352 W 74th St,90044,LOS ANGELES,Duplex,2018,434655,1921,5592,1712,2,4,524404,South Los Angeles,neighborhood
8316 Chelsea Ln,91304,CANOGA PARK,Condominium,2018,489465,2001,97249,2233,3,4,757057,West Hills,neighborhood
12044 Carl St,91342,SYLMAR,SingleFamily,2018,177322,1984,7571,1103,2,4,512587,Lakeview Terrace,neighborhood
443 E Sandison St,90744,WILMINGTON,SingleFamily,2018,266327,1960,5017,1352,2,3,509101,Wilmington,neighborhood
6022 Le Sage Ave,91367,WOODLAND HILLS,SingleFamily,2018,540468,1958,7352,1488,2,3,767742,Woodland Hills,neighborhood
11635 Spy Glass Dr,91326,PORTER RANCH,SingleFamily,2018,488332,1970,8172,2906,3,4,892295,Porter Ranch,neighborhood
2938 S Denison Ave,90731,SAN PEDRO,SingleFamily,2018,160583,1941,2500,935,2,2,508244,San Pedro,neighborhood
637 N Formosa Ave,90036,LOS ANGELES,SingleFamily,2018,646496,1940,7732,2017,2,4,1847279,Mid City West,neighborhood
1591 Woodbury Dr,90710,HARBOR CITY,SingleFamily,2018,258194,1969,5474,1200,2,3,572004,Harbor City,neighborhood
17087 San Jose St,91344,GRANADA HILLS,SingleFamily,2018,561e3,1953,9583,1053,1,3,590351,Granada Hills,neighborhood
5441 Cromer Pl,91367,WOODLAND HILLS,SingleFamily,2018,356228,1959,9237,1404,2,3,761479,Woodland Hills,neighborhood
3865 S Sycamore Ave,90008,LOS ANGELES,SingleFamily,2018,405795,1947,8907,1238,1,3,896608,Crenshaw,neighborhood
1815 Preuss Rd,90035,LOS ANGELES,SingleFamily,2018,315893,1939,6223,1242,1,2,1477154,Crestview,neighborhood
1517 N Hoover St,90027,LOS ANGELES,Quadruplex,2018,514567,1988,6918,3780,8,12,1929662,Los Feliz,neighborhood
5243 Cahuenga Blvd,91601,North Hollywood,Apartment,NA,NA,1962,NA,1250,1,2,NA,North Hollywood,neighborhood
1216 S Westmoreland Ave,90006,LOS ANGELES,Quadruplex,2018,370796,1936,11703,4619,5,7,1546149,Harvard Heights,neighborhood
15821 Royal Meadow Pl,91403,SHERMAN OAKS,SingleFamily,2018,384719,1962,18792,3104,5,4,2240316,Encino,neighborhood
1327 E 42nd Pl,90011,LOS ANGELES,SingleFamily,2018,188264,1910,4983,1188,1,3,408486,Central City,neighborhood
835 Muskingum Ave,90272,PACIFIC PALISADES,SingleFamily,2018,135258,1952,9147,1620,2,4,2720862,Pacific Palisades,neighborhood
8119 Irvine Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,347477,1947,8100,1725,2,4,575679,Sun Valley,neighborhood
3326 Griffin Ave,90031,LOS ANGELES,SingleFamily,2018,205255,1926,4490,846,2,2,569856,Lincoln Heights,neighborhood
13500 Bassett St,91405,VAN NUYS,SingleFamily,2018,283481,1951,9843,2062,2,3,723525,Valley Glen,neighborhood
4835 Excelente Dr,91364,WOODLAND HILLS,SingleFamily,2018,776550,1956,8624,2170,2,3,874059,Woodland Hills,neighborhood
12434 Barbara Ave,90066,LOS ANGELES,SingleFamily,2018,860026,1939,5405,2153,2,3,1614243,Mar Vista,neighborhood
8030 Zelzah Ave,91335,RESEDA,SingleFamily,2018,216563,1954,5999,1192,2,4,554660,Reseda,neighborhood
3445 E 4th St,90063,LOS ANGELES,SingleFamily,2018,775e3,1953,6098,856,1,3,424725,Boyle Heights,neighborhood
9359 Roslyndale Ave,91331,Arleta,SingleFamily,2018,317640,1954,5999,1266,2,3,511784,Arleta,neighborhood
13160 Hesby St,91423,SHERMAN OAKS,SingleFamily,2018,775490,1963,7235,2492,3,4,1417073,Sherman Oaks,neighborhood
1049 S Mansfield Ave,90019,Los Angeles,Condominium,NA,NA,1926,NA,1720,1.5,2,1015868,Mid City,neighborhood
5061 Chicopee Ave,91316,ENCINO,SingleFamily,2018,335703,1961,18488,3393,5,4,2203165,Encino,neighborhood
6443 Gloria Ave,91406,VAN NUYS,SingleFamily,2018,386227,1953,8848,3704,5,5,1011870,Lake Balboa,neighborhood
11673 Cetona Way,91326,Northridge,SingleFamily,2018,1227590,2014,13205,3381,5,5,1279699,Porter Ranch,neighborhood
518 W 146th St,90248,GARDENA,SingleFamily,2018,248333,1949,5837,994,1,3,482100,Harbor Gateway,neighborhood
2136 Lake Shore Ave,90039,LOS ANGELES,SingleFamily,2018,298604,1947,3999,716,1,2,830549,Echo Park,neighborhood
7425 Sylvia Ave,91335,RESEDA,SingleFamily,2018,109388,1957,6315,1714,2,3,591641,Reseda,neighborhood
16200 Hamlin St,91406,VAN NUYS,SingleFamily,2018,459945,1950,6508,1790,3,3,712168,Lake Balboa,neighborhood
241 S Avenue 22,90031,LOS ANGELES,SingleFamily,2018,166238,1890,7749,1238,1,2,644788,Lincoln Heights,neighborhood
241 E Avenue 33,90031,LOS ANGELES,SingleFamily,2018,89881,1911,5930,589,1,1,492339,Lincoln Heights,neighborhood
241 S Avenue 18,90031,LOS ANGELES,SingleFamily,2018,26010,1901,4965,1337,1,4,603304,Lincoln Heights,neighborhood
8601 Lincoln Blvd # 5-241,90045,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,736,1,1,NA,Playa Del Rey,neighborhood
11732 Riverside Dr,91607,VALLEY VILLAGE,SingleFamily,2018,973080,2014,6624,2596,3,3,1113697,Valley Village,neighborhood
1416 Barry Ave APT 204,90025,West Los Angeles,Apartment,NA,NA,NA,NA,NA,NA,NA,NA,West Los Angeles,neighborhood
5333 Buffalo Ave,91401,Sherman Oaks,SingleFamily,2018,673396,1950,6480,1411,2,3,842687,Sherman Oaks,neighborhood
5748 Morley St,90045,Westchester,MultiFamily2To4,NA,NA,1950,NA,2280,NA,0,1473168,Westchester,neighborhood
14147 Moorpark St,91423,SHERMAN OAKS,Quadruplex,2018,1071e3,1956,5713,3163,NA,NA,1438822,Sherman Oaks,neighborhood
914 Hawaiian Ave,90744,WILMINGTON,SingleFamily,2018,215367,1949,6280,912,1,2,440027,Wilmington,neighborhood
1734 S Hobart Blvd,90006,LOS ANGELES,MultiFamily2To4,2018,325648,1907,5837,2599,NA,0,1000852,Harvard Heights,neighborhood
9509 Delco Ave,91311,CHATSWORTH,SingleFamily,2018,249366,1959,7676,1443,2,3,629342,Chatsworth,neighborhood
21316 De La Osa St,91364,WOODLAND HILLS,SingleFamily,2018,185900,1955,6410,2192,3,4,898878,Woodland Hills,neighborhood
2933 Halldale Ave,90018,LOS ANGELES,Duplex,2018,280050,1905,7104,1774,2,2,756577,Adams-Normandie,neighborhood
10523 Juniper St,90002,LOS ANGELES,SingleFamily,2018,255247,2006,3249,2224,2,6,472324,Watts,neighborhood
1815 Westmoreland Blvd,90006,LOS ANGELES,SingleFamily,2018,58349,1910,9583,3366,2,4,1125605,Harvard Heights,neighborhood
13120 Hartsook St,91423,SHERMAN OAKS,SingleFamily,2018,969e3,1951,7425,1700,2,2,1085156,Sherman Oaks,neighborhood
13120 Magnolia Blvd,91423,SHERMAN OAKS,SingleFamily,2018,546725,1928,10019,2017,3,3,1250014,Sherman Oaks,neighborhood
13120 Albers St,91401,Sherman Oaks,SingleFamily,2018,538298,1979,8326,3048,4,5,1293678,Sherman Oaks,neighborhood
13120 Otsego St,91423,SHERMAN OAKS,SingleFamily,2018,417462,1950,7405,1439,1,2,934833,Sherman Oaks,neighborhood
13120 Hesby St,91423,SHERMAN OAKS,SingleFamily,2018,659275,1952,6099,2665,4,5,1360058,Sherman Oaks,neighborhood
13120 Morrison St,91423,SHERMAN OAKS,SingleFamily,2018,106608,1954,6749,1610,2,2,990922,Sherman Oaks,neighborhood
13120 Huston St,91423,SHERMAN OAKS,SingleFamily,2018,496236,1952,6066,2390,3,4,1217244,Sherman Oaks,neighborhood
13120 Bloomfield St,91423,SHERMAN OAKS,SingleFamily,2018,1883202,2008,8501,4110,5,5,2711194,Sherman Oaks,neighborhood
19856 Schoolcraft St,91306,WINNETKA,SingleFamily,2018,529e3,1955,6285,1621,2,3,561826,Winnetka,neighborhood
22405 Venido Rd,91364,WOODLAND HILLS,SingleFamily,2018,313775,1949,10107,2501,2,3,912410,Woodland Hills,neighborhood
13708 Algranti Ave,91342,SYLMAR,SingleFamily,2018,315479,1965,7513,1904,3,5,604857,Sylmar,neighborhood
160 S Martel Ave,90036,LOS ANGELES,SingleFamily,2018,242026,1947,8222,1957,2,2,1978662,Mid City West,neighborhood
2383 Century Hl,90067,LOS ANGELES,Condominium,2018,1018389,1980,787351,1961,3,2,1250155,Century City,neighborhood
5300 Dahlia Dr,90041,Eagle Rock,SingleFamily,NA,NA,1935,11500,2434,2.5,5,1413649,Eagle Rock,neighborhood
2321 Mariondale Ave,90032,LOS ANGELES,SingleFamily,2018,39163,1941,4955,1074,1,3,594206,University Hills,neighborhood
265 Bronwood Ave,90049,LOS ANGELES,SingleFamily,2018,927604,1937,7203,3673,4,4,2779661,Westwood,neighborhood
5459 S Victoria Ave,90043,LOS ANGELES,SingleFamily,2018,653502,1935,7e3,1595,2,2,649358,Hyde Park,neighborhood
1742 College View Pl,90041,LOS ANGELES,Duplex,2018,311844,1923,5712,1894,3,5,860150,Eagle Rock,neighborhood
478 S Willaman Dr,90048,LOS ANGELES,SingleFamily,2018,908666,1925,5866,1830,2,3,2459141,Mid City West,neighborhood
1302 S Cabrillo Ave,90731,SAN PEDRO,Quadruplex,2018,534602,1958,4802,3199,4,8,979540,San Pedro,neighborhood
341 N Mansfield Ave,90036,Los Angeles,Condominium,NA,NA,1927,NA,2400,2,3,1790724,Mid Wilshire,neighborhood
6519 4th Ave,90043,LOS ANGELES,SingleFamily,2018,372463,1925,4792,1113,1,3,439862,Hyde Park,neighborhood
23816 Posey Ln,91304,CANOGA PARK,SingleFamily,2018,892500,1977,11572,1500,1.5,3,737292,West Hills,neighborhood
932 Rivas Canyon Rd,90272,PACIFIC PALISADES,SingleFamily,2018,11398500,2009,43560,10929,7,7,13368115,Pacific Palisades,neighborhood
15908 Wyandotte St,91406,VAN NUYS,SingleFamily,2018,154344,1951,6032,1019,1,3,434554,Lake Balboa,neighborhood
10220 De Soto Ave UNIT 16,91311,Chatsworth,Condominium,NA,NA,NA,NA,950,2,2,434800,NA,NA
7710 De Soto Ave,91304,CANOGA PARK,SingleFamily,2018,444250,1959,7861,1392,2,3,576462,Winnetka,neighborhood
13034 Foothill Blvd,91342,San Fernando,SingleFamily,2018,7050,NA,40792,NA,NA,0,NA,San Fernando,city
12975 Kagel Canyon St,91331,PACOIMA,SingleFamily,2018,114331,1941,7500,1736,3,4,516586,Pacoima,neighborhood
12975 Glenoaks Blvd,91342,SYLMAR,SingleFamily,2018,645396,1955,15507,1744,2,3,581791,Sylmar,neighborhood
12975 Fellows Ave,91342,SYLMAR,SingleFamily,2018,175397,1960,5954,1484,2,3,525884,Sylmar,neighborhood
12975 Maclay St,91342,SYLMAR,SingleFamily,2018,447105,1965,7840,1718,2,4,556034,Sylmar,neighborhood
20905 Bassett St,91303,CANOGA PARK,SingleFamily,2018,470689,1988,7396,2267,3,4,677585,Canoga Park,neighborhood
1667 W 208th St,90501,Torrance,MultiFamily2To4,NA,NA,1963,6573,6112,7,16,1516492,Harbor Gateway,neighborhood
1667 Vineyard Ave,90019,LOS ANGELES,SingleFamily,2018,327851,1921,2351,850,1.75,3,688574,Mid City,neighborhood
10606 Melvin Ave,91326,PORTER RANCH,SingleFamily,2018,363048,1965,17965,3089,3,4,956693,Northridge,neighborhood
8735 Corbin Ave,91324,NORTHRIDGE,SingleFamily,2018,351730,1957,7320,1478,2,3,595716,Winnetka,neighborhood
10824 Mcvine Ave,91040,Sunland,SingleFamily,2018,670727,2014,NA,2214,3,4,765874,Sunland,neighborhood
10824 Lindbrook Dr APT 5,90024,Los Angeles,Townhouse,NA,NA,NA,NA,230,1,NA,812686,Westwood,neighborhood
11736 S Vermont Ave APT 1,90044,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,1,1,432165,South Los Angeles,neighborhood
11736 Culver Blvd,90066,Los Angeles,Townhouse,NA,NA,NA,NA,NA,1.5,2,759771,Del Rey,neighborhood
162 W 55th St,90037,LOS ANGELES,Duplex,2018,403429,1905,5463,1484,2,2,436488,Southeast Los Angeles,neighborhood
7402 Stewart Ave,90045,LOS ANGELES,SingleFamily,2018,543934,1954,6714,1824,2,3,1391764,Westchester,neighborhood
10908 Whitaker Ave,91344,GRANADA HILLS,SingleFamily,2018,319979,1953,7646,2253,3,5,695658,Granada Hills,neighborhood
17854 Hartland St,91335,RESEDA,SingleFamily,2018,195280,1949,5878,1344,2,3,552589,Reseda,neighborhood
3930 Hollyline Ave,91423,SHERMAN OAKS,SingleFamily,2018,44e5,1950,101930,7670,6,5,5249469,Sherman Oaks,neighborhood
4010 W 21st St,90018,LOS ANGELES,Quadruplex,2018,231883,1923,6082,4476,4,5,1081510,Jefferson Park,neighborhood
4545 Mary Ellen Ave,91423,SHERMAN OAKS,SingleFamily,2018,251725,1947,5405,1408,2,3,1045443,Sherman Oaks,neighborhood
19715 Komar Dr,91356,TARZANA,SingleFamily,2018,205518,1967,18014,3216,3,5,1291112,Tarzana,neighborhood
26463 Leesdale Ave,90710,HARBOR CITY,SingleFamily,2018,465122,1942,5891,1028,1,3,603023,Harbor City,neighborhood
4901 Beverly Blvd APT 5,90004,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Mid Wilshire,neighborhood
4901 Beverly Blvd APT 12,90004,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Mid Wilshire,neighborhood
4901 Beverly Blvd APT 8,90004,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Mid Wilshire,neighborhood
4901 Beverly Blvd APT 23,90004,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Mid Wilshire,neighborhood
4901 Beverly Blvd APT 6,90004,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,0,NA,Mid Wilshire,neighborhood
